FID,TYPE,CITY,STATE,ZIP,LATITUDE,LONGITUDE
41319,Authorized Ship Center,Lawrenceville,NJ,8648,40.273882,-74.725135
41320,Self-Service,Parsippany,NJ,7054,40.864281,-74.427429
41321,Self-Service,Vineland,NJ,8360,39.486983,-75.012396
41322,Self-Service,Lawrenceville,NJ,8648,40.283381,-74.713557
41323,Authorized Ship Center,Vineland,NJ,8360,39.465493,-75.006266
41324,Self-Service,Lawrenceville,NJ,8648,40.282869,-74.71533000000001
41325,Self-Service,Parsippany,NJ,7054,40.848906,-74.419818
41326,Self-Service,Vineland,NJ,8360,39.477984,-75.004532
41327,Self-Service,Lawrenceville,NJ,8648,40.288782,-74.70731500000001
41328,Self-Service,Parsippany,NJ,7054,40.848984,-74.422443
41329,Authorized Ship Center,Vineland,NJ,8360,39.480526,-75.000564
41330,Self-Service,Lawrenceville,NJ,8648,40.288297,-74.70629699999999
41331,Self-Service,Parsippany,NJ,7054,40.856687,-74.427019
41332,Self-Service,Vineland,NJ,8361,39.45729,-74.986186
41333,Self-Service,Lawrenceville,NJ,8648,40.287362,-74.704105
41334,Self-Service,Parsippany,NJ,7054,40.855928999999996,-74.427017
41335,Self-Service,Lawrenceville,NJ,8648,40.280103000000004,-74.716109
41336,Self-Service,Parsippany,NJ,7054,40.846925,-74.42403
41337,Self-Service,Lawrenceville,NJ,8648,40.279219,-74.71403000000001
41338,Self-Service,Parsippany,NJ,7054,40.847505,-74.429602
41339,Self-Service,Trenton,NJ,8618,40.250724,-74.781157
41340,Self-Service,Warren,NJ,7059,40.619279999999996,-74.490538
41341,Self-Service,Warren,NJ,7059,40.620154,-74.487478
41342,Self-Service,Princeton,NJ,8540,40.321476000000004,-74.637398
41343,Self-Service,Princeton,NJ,8540,40.322063,-74.637842
41344,Self-Service,Warren,NJ,7059,40.620209,-74.487509
41345,Self-Service,Princeton,NJ,8540,40.328523,-74.646373
41346,Self-Service,Watchung,NJ,7069,40.622783,-74.478751
41347,Self-Service,Princeton,NJ,8540,40.319433000000004,-74.641436
41348,Self-Service,Green Brook,NJ,8812,40.59559,-74.490418
41349,Staffed,South Plainfield,NJ,7080,40.550787,-74.431761
41350,Self-Service,Princeton,NJ,8540,40.317664,-74.65115
41351,Self-Service,South Plainfield,NJ,7080,40.587261,-74.419137
41352,Self-Service,Princeton,NJ,8540,40.317163,-74.661281
41353,Self-Service,South Plainfield,NJ,7080,40.578964,-74.431185
41354,Self-Service,Princeton,NJ,8540,40.311171,-74.666404
41355,Self-Service,Piscataway,NJ,8854,40.573442,-74.45731500000001
41356,Authorized Ship Center,Turnersville,NJ,8012,39.730505,-75.03400500000001
41357,Self-Service,Turnersville,NJ,8012,39.734775,-75.03835
41358,Self-Service,Blackwood,NJ,8012,39.742616,-75.044667
41359,Self-Service,South Plainfield,NJ,7080,40.560626,-74.42831
41360,Self-Service,Princeton,NJ,8540,40.337790999999996,-74.656842
41361,Self-Service,Turnersville,NJ,8012,39.777193,-75.052816
41362,Self-Service,Piscataway,NJ,8854,40.567678,-74.456556
41363,Self-Service,Princeton,NJ,8540,40.321641,-74.649046
41364,Self-Service,Bound Brook,NJ,8805,40.575909,-74.547389
41365,Authorized Ship Center,Piscataway,NJ,8854,40.551994,-74.44045600000001
41366,Self-Service,Williamstown,NJ,8094,39.687179,-74.99087800000001
